"semantic_roles__action__text","semantic_roles__action__verb__text","semantic_roles__action__verb__tense","semantic_roles__action__normalized","semantic_roles__sentence","semantic_roles__object__text","semantic_roles__subject__text","sentiment__document__score","sentiment__document__label","language","entities__emotion__anger","entities__emotion__joy","entities__emotion__sadness","entities__emotion__fear","entities__emotion__disgust","entities__count","entities__sentiment__score","entities__sentiment__label","entities__text","entities__relevance","entities__type","relations__score","relations__type","relations__arguments__text","relations__arguments__location__001","relations__arguments__location__002","relations__arguments__entities__text","relations__arguments__entities__disambiguation__subtype__-","relations__arguments__entities__type","relations__sentence","keywords__relevance","keywords__text","keywords__emotion__anger","keywords__emotion__joy","keywords__emotion__sadness","keywords__emotion__fear","keywords__emotion__disgust","keywords__sentiment__score","keywords__sentiment__label","usage__text_characters","usage__features","usage__text_units","categories__score","categories__label"
"","","","","","","","","","","","","","","","1","0.0","neutral","zero minutes","0.33","Quantity","0.547021","partOfMany","who","2126","2129","person","","Person","would you feel if', 'I don t think you can t cut the yeah looser crew Nicole Miller capital I m calling for assistance okay where a light durable officer from capital recovery to forty eight fifty capital where it goes okay what s going on there reporter ripped the upholstery four eight picking him up kicker capital of red wine purported purpura three I don t go person here who is HESITATION if you drive it back if you could bootlegger it would petered out it I I do think we did that a forty eight fifty well three or four look at the capitol arrested her it will at No Way chemotherapy', '","0.563343","HESITATION couple ha","0.197171","0.249982","0.288921","0.131137","0.040096","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","1","0.0","neutral","two dollars","0.33","Quantity","","","you","2147","2150","farmers","","Person","","0.561156","springs Colorado okay","0.098792","0.226439","0.110143","0.108652","0.081648","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","1","0.0","neutral","one day","0.33","Quantity","0.740601","affectedBy","her","2306","2309","Fiona","","Person","would you feel if', 'I don t think you can t cut the yeah looser crew Nicole Miller capital I m calling for assistance okay where a light durable officer from capital recovery to forty eight fifty capital where it goes okay what s going on there reporter ripped the upholstery four eight picking him up kicker capital of red wine purported purpura three I don t go person here who is HESITATION if you drive it back if you could bootlegger it would petered out it I I do think we did that a forty eight fifty well three or four look at the capitol arrested her it will at No Way chemotherapy', '","0.537224","car yeah","0.413424","0.063462","0.271906","0.417228","0.087502","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","arrested","2297","2305","arrested","","EventCustody","","0.536798","yeah nbatickets","0.152737","0.151193","0.177091","0.143113","0.140151","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","","","","","0.869319","locatedAt","I","2384","2385","Martin","","Person","nine one one Ireland but holy now ma am I got an emergency kit pickup with her kids my health kick him out or couldn t name would I don t need that kind of ncredible long I didn yeah I know I can imagine and a good looking man comes at the door that I have learned that my way he needed a bass player look like that yeah what you need in her own going on looking come back I think department come back my way with him okay and what we heard from my dog I mean I m a dog you know you', '","0.536743","baby yeah","0.152737","0.151193","0.177091","0.143113","0.140151","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","pickup","2407","2413","ambulance","","Vehicle","","0.531864","don t buy","0.236467","0.055626","0.701793","0.135968","0.15204","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","","","","","0.411138","locatedAt","her","2419","2422","Fiona","","Person","nine one one Ireland but holy now ma am I got an emergency kit pickup with her kids my health kick him out or couldn t name would I don t need that kind of ncredible long I didn yeah I know I can imagine and a good looking man comes at the door that I have learned that my way he needed a bass player look like that yeah what you need in her own going on looking come back I think department come back my way with him okay and what we heard from my dog I mean I m a dog you know you', '","0.514228","little okay","0.128761","0.408854","0.189976","0.098792","0.155292","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","pickup","2407","2413","ambulance","","Vehicle","","0.514093","HESITATION childhood","0.152737","0.151193","0.177091","0.143113","0.140151","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","","","","","0.80863","locatedAt","kids","2423","2427","kids","","Person","nine one one Ireland but holy now ma am I got an emergency kit pickup with her kids my health kick him out or couldn t name would I don t need that kind of ncredible long I didn yeah I know I can imagine and a good looking man comes at the door that I have learned that my way he needed a bass player look like that yeah what you need in her own going on looking come back I think department come back my way with him okay and what we heard from my dog I mean I m a dog you know you', '","0.514072","little while okay","0.128761","0.408854","0.189976","0.098792","0.155292","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","pickup","2407","2413","ambulance","","Vehicle","","0.506363","okay airplane","0.131625","0.336614","0.190537","0.088129","0.016975","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","","","","","0.389417","parentOf","her","2419","2422","Fiona","","Person","nine one one Ireland but holy now ma am I got an emergency kit pickup with her kids my health kick him out or couldn t name would I don t need that kind of ncredible long I didn yeah I know I can imagine and a good looking man comes at the door that I have learned that my way he needed a bass player look like that yeah what you need in her own going on looking come back I think department come back my way with him okay and what we heard from my dog I mean I m a dog you know you', '","0.503993","okay thing","0.413424","0.063462","0.271906","0.417228","0.087502","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","kids","2423","2427","kids","","Person","","0.455616","main street","0.098792","0.226439","0.110143","0.108652","0.081648","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","","","","","0.720752","affectedBy","farmers","37","44","farmers","","Person","['I don t want archbishop Martin say farmers Fiona ntfc with early now time if if if we are poor on Lou songs he and HESITATION on Tom Hans Sahm colored she s allowed to many and they give me a hard time alone if you stop by John illicit sex Islamic lands well only one if you don here are calling nine one one because you don t like the way that they re making their Sam one other quick so that all don t buy it nduja block so it s locked away don t buy it if they don t want to make it is what you want supermarket he will make you pull me again physical that you know so I m out of one of Saddam delight way you know again the hard times', '","0.443975","car eclectic look","0.547113","0.085318","0.314237","0.204857","0.050137","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","say","33","36","say","","EventCommunication","","0.434141","bass player look","0.177384","0.188129","0.365749","0.351683","0.157621","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","","","","","0.631975","ownerOf","my","2790","2792","Martin","","Person","nine one one Ireland but holy now ma am I got an emergency kit pickup with her kids my health kick him out or couldn t name would I don t need that kind of ncredible long I didn yeah I know I can imagine and a good looking man comes at the door that I have learned that my way he needed a bass player look like that yeah what you need in her own going on looking come back I think department come back my way with him okay and what we heard from my dog I mean I m a dog you know you', '","0.432815","good looking man","0.177384","0.188129","0.365749","0.351683","0.157621","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","dog","2793","2796","dog","","Animal","","0.425745","tropicalis al assad","0.261816","0.073483","0.400366","0.45252","0.141775","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","","","","","0.992376","agentOf","I","2981","2982","Martin","","Person","this recording was prepared by nine running run dispatch dot com nine one one emergency food and I want to know what s going on I want to do a quieter I told somebody noticed the way to the truck it was a lot of those too giving them each other I m a crucial blew up or something n t I met again shouldn t try to come to a guy who never grew quickly took up running the trend toward picked up a little luck yeah he talked to a guy and you wouldn t think that we have to talk to another caller and almost threw up to I have to look in that book trickling out something to my property and I m quite good tropicalis al assad s', '","0.425455","Tom Hans Sahm","0.236467","0.055626","0.701793","0.135968","0.15204","0.0","neutral","","","","",""
