"sentiment__document__score","sentiment__document__label","language","entities__emotion__anger","entities__emotion__joy","entities__emotion__sadness","entities__emotion__fear","entities__emotion__disgust","entities__count","entities__sentiment__score","entities__sentiment__label","entities__text","entities__disambiguation__subtype__-","entities__relevance","entities__type","relations__score","relations__type","relations__arguments__text","relations__arguments__location__001","relations__arguments__location__002","relations__arguments__entities__text","relations__arguments__entities__type","relations__sentence","keywords__relevance","keywords__text","keywords__emotion__anger","keywords__emotion__joy","keywords__emotion__sadness","keywords__emotion__fear","keywords__emotion__disgust","keywords__sentiment__score","keywords__sentiment__label","usage__text_characters","usage__features","usage__text_units","categories__score","categories__label"
"","","","","","","","","1","0.0","neutral","three","","0.33","Quantity","0.973802","agentOf","she","16636","16639","she","Person","I got a nine one one where is your emergency sixty one thirty five very three what s going on there because I just got a phone call saying that I m my friend she was on a date that apartment that how long and and apparently the boyfriend she hasn t decided assaulting her HESITATION okay what is her name last name anyone if he s beating are out yeah but that s what I was told that she called a friend of hers in Brazil and he s like well you re closer here working over there and she s in trouble on so what is your name my name is and your last name where would you like yourself Puyat I have a junior with me so I know will send some help over there but your phone number Sabrina HESITATION you know our passion',","0.488232","okay Bronwyn point","0.357342","0.232973","0.260951","0.268829","0.126446","0.0","neutral","","","","",""
"","","","","","","","","1","0.0","neutral","one","","0.33","Quantity","","","called","16640","16646","called","EventCommunication","","0.482198","okay my brother","0.118469","0.768579","0.06691","0.049915","0.007422","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.69922","affectedBy","friend","16649","16655","friend","Person","I got a nine one one where is your emergency sixty one thirty five very three what s going on there because I just got a phone call saying that I m my friend she was on a date that apartment that how long and and apparently the boyfriend she hasn t decided assaulting her HESITATION okay what is her name last name anyone if he s beating are out yeah but that s what I was told that she called a friend of hers in Brazil and he s like well you re closer here working over there and she s in trouble on so what is your name my name is and your last name where would you like yourself Puyat I have a junior with me so I know will send some help over there but your phone number Sabrina HESITATION you know our passion',","0.480833","okay athletic ability","0.456366","0.04267","0.488339","0.235279","0.082553","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","called","16640","16646","called","EventCommunication","","0.479638","okay hold","0.107988","0.104158","0.53605","0.15275","0.080203","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.431004","residesIn","friend","16649","16655","friend","Person","I got a nine one one where is your emergency sixty one thirty five very three what s going on there because I just got a phone call saying that I m my friend she was on a date that apartment that how long and and apparently the boyfriend she hasn t decided assaulting her HESITATION okay what is her name last name anyone if he s beating are out yeah but that s what I was told that she called a friend of hers in Brazil and he s like well you re closer here working over there and she s in trouble on so what is your name my name is and your last name where would you like yourself Puyat I have a junior with me so I know will send some help over there but your phone number Sabrina HESITATION you know our passion',","0.477322","okay mmhm","0.345455","0.059206","0.302829","0.077072","0.447471","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","Brazil","16667","16673","Brazil","GeopoliticalEntity","","0.474889","murder okay","0.412696","0.021373","0.637409","0.08763","0.13968","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.43322","ownerOf","my","1604","1606","my","Person","in Atlanta one where is the heart of hello nine one one I m interested in my house but what if I couldn t find my fun dormant such order number trying to break in a decade talk about that right out started signing up okay you know who the gunman can clarify it s about change I ve got officers already on the web but you pay on the part of the officers get therapy putting that that kind of backing down they re in the band for someone who in the baton homocore sort of porch we ve heard that about parents that they can t I think anybody who I know I m not asking you to look for it but did you know there is hope you didn t think Americans it s over okay are you expecting inviting you', '","0.474727","okay let","0.357342","0.232973","0.260951","0.268829","0.126446","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","house","1607","1612","house","Facility","","0.472249","emergency yeah HESITATION","0.281122","0.031929","0.542971","0.158302","0.158344","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.823137","partOfMany","Sabrina HESITATION","16929","16947","Sabrina HESITATION","Person","I got a nine one one where is your emergency sixty one thirty five very three what s going on there because I just got a phone call saying that I m my friend she was on a date that apartment that how long and and apparently the boyfriend she hasn t decided assaulting her HESITATION okay what is her name last name anyone if he s beating are out yeah but that s what I was told that she called a friend of hers in Brazil and he s like well you re closer here working over there and she s in trouble on so what is your name my name is and your last name where would you like yourself Puyat I have a junior with me so I know will send some help over there but your phone number Sabrina HESITATION you know our passion',","0.471855","governor okay","0.177355","0.050353","0.190199","0.129298","0.212279","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","our","16957","16960","our","Person","","0.470532","play okay","0.296615","0.040715","0.538866","0.218059","0.132404","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.579288","agentOf","someone","17557","17564","someone","Person","right now I wanna focus related crime have different color transfer it that s what time and what what can someone has been shot in the neck but in any event competent goddess me thinking it would make a cameo on it anyway wondering where they end up not aerobic workout poor and Gloria poignant one one yes or no this is this is n t Lackner WNED the address is weaker than a nmcourts being okay west point because there s like a whole crew my if anyone wants I don t want my name click here it is', '","0.469305","okay ma","0.229969","0.234912","0.242243","0.203906","0.15039","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","shot","17574","17578","shot","EventViolence","","0.469054","levy okay","0.17457","0.018801","0.463534","0.489467","0.141784","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.4168","locatedAt","airport","18037","18044","airport","Organization","what is important and one on one is the location of your emergency are working in the airport south entrance just before the assault was it s apparent that fire HESITATION out in print lead by this out you Turner you into the FAA agents less and look like you re getting a heart attack straw for something in his lashes crackling where are you we re in this war and the fear is the road that goes into the airforce our writers has apparently across from the district also passing this is a very fast they re just leaving it for that like your parents incident returns and just straight away here are you on the bridge now we re before the very words which really is coming were confirmed coming from last three sixty parents to the airport okay hang on a minute because of the jurisdiction thing any","0.467056","funny okay","0.296615","0.040715","0.538866","0.218059","0.132404","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","south","18045","18050","south","Location","","0.467056","okay worker","0.390218","0.19779","0.368748","0.200394","0.031586","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.604312","hasAttribute","you","18207","18210","you","Person","what is important and one on one is the location of your emergency are working in the airport south entrance just before the assault was it s apparent that fire HESITATION out in print lead by this out you Turner you into the FAA agents less and look like you re getting a heart attack straw for something in his lashes crackling where are you we re in this war and the fear is the road that goes into the airforce our writers has apparently across from the district also passing this is a very fast they re just leaving it for that like your parents incident returns and just straight away here are you on the bridge now we re before the very words which really is coming were confirmed coming from last three sixty parents to the airport okay hang on a minute because of the jurisdiction thing any","0.464358","okay reading","0.405649","0.090158","0.406243","0.234408","0.18758","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","heart attack","18224","18236","heart attack","HealthCondition","","0.462966","okay limits","0.357342","0.232973","0.260951","0.268829","0.126446","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.686706","parentOf","your","18489","18493","your","Person","what is important and one on one is the location of your emergency are working in the airport south entrance just before the assault was it s apparent that fire HESITATION out in print lead by this out you Turner you into the FAA agents less and look like you re getting a heart attack straw for something in his lashes crackling where are you we re in this war and the fear is the road that goes into the airforce our writers has apparently across from the district also passing this is a very fast they re just leaving it for that like your parents incident returns and just straight away here are you on the bridge now we re before the very words which really is coming were confirmed coming from last three sixty parents to the airport okay hang on a minute because of the jurisdiction thing any","0.460802","deck okay","0.486188","0.052053","0.376425","0.279304","0.122388","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","parents","18494","18501","parents","Person","","0.460399","okay limiter","0.06476","0.469899","0.256052","0.052427","0.040078","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.602856","partOfMany","parents","18668","18675","parents","Person","what is important and one on one is the location of your emergency are working in the airport south entrance just before the assault was it s apparent that fire HESITATION out in print lead by this out you Turner you into the FAA agents less and look like you re getting a heart attack straw for something in his lashes crackling where are you we re in this war and the fear is the road that goes into the airforce our writers has apparently across from the district also passing this is a very fast they re just leaving it for that like your parents incident returns and just straight away here are you on the bridge now we re before the very words which really is coming were confirmed coming from last three sixty parents to the airport okay hang on a minute because of the jurisdiction thing any","0.380042","middle school yeah","0.209133","0.106897","0.408024","0.32092","0.054109","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","sixty","18662","18667","sixty","Person","","0.379827","yeah leann leann","0.11689","0.169506","0.677613","0.096112","0.043684","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.43211","locatedAt","parents","18668","18675","parents","Person","what is important and one on one is the location of your emergency are working in the airport south entrance just before the assault was it s apparent that fire HESITATION out in print lead by this out you Turner you into the FAA agents less and look like you re getting a heart attack straw for something in his lashes crackling where are you we re in this war and the fear is the road that goes into the airforce our writers has apparently across from the district also passing this is a very fast they re just leaving it for that like your parents incident returns and just straight away here are you on the bridge now we re before the very words which really is coming were confirmed coming from last three sixty parents to the airport okay hang on a minute because of the jurisdiction thing any","0.376366","Feder baby yeah","0.060084","0.813539","0.041731","0.029244","0.033403","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","airport","18683","18690","airport","Organization","","0.372885","firewood emergency yeah","0.051634","0.09543","0.674213","0.248765","0.004527","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.644913","partOfMany","brother","18776","18783","brother","Person","', 'who hello I didn t my brother okay name but I can hear you no my brother in the new record out yeah we thing okay yeah yeah yeah don t talk normal in okay my brother yelling upon a good good luck my brother the only alliance a good I don t I get my you get the bill if your brother well okay it you know my other brother then and my back but mom backyard plan whew I don t really little please weekly but my brother you re a you look big and upper body', '","0.372331","decidedly wrong yeah","0.094225","0.252008","0.353868","0.387747","0.126049","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","who","18754","18757","who","Person","","0.371718","craft headset yeah","0.189264","0.147536","0.312373","0.245749","0.062613","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.698205","partOfMany","okay","18784","18788","okay","Person","', 'who hello I didn t my brother okay name but I can hear you no my brother in the new record out yeah we thing okay yeah yeah yeah don t talk normal in okay my brother yelling upon a good good luck my brother the only alliance a good I don t I get my you get the bill if your brother well okay it you know my other brother then and my back but mom backyard plan whew I don t really little please weekly but my brother you re a you look big and upper body', '","0.367655","yeah way","0.157017","0.156312","0.458486","0.15256","0.059198","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","who","18754","18757","who","Person","","0.365282","wind power yeah","0.283094","0.067856","0.402367","0.442839","0.146078","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.331291","siblingOf","my","18773","18775","my","Person","', 'who hello I didn t my brother okay name but I can hear you no my brother in the new record out yeah we thing okay yeah yeah yeah don t talk normal in okay my brother yelling upon a good good luck my brother the only alliance a good I don t I get my you get the bill if your brother well okay it you know my other brother then and my back but mom backyard plan whew I don t really little please weekly but my brother you re a you look big and upper body', '","0.363256","player yeah player","0.315048","0.056536","0.459463","0.351042","0.123862","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","brother","18776","18783","brother","Person","","0.356065","breathing yeah","0.342365","0.241266","0.249738","0.089302","0.162114","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.681853","timeOf","a decade","1693","1701","a decade","Duration","in Atlanta one where is the heart of hello nine one one I m interested in my house but what if I couldn t find my fun dormant such order number trying to break in a decade talk about that right out started signing up okay you know who the gunman can clarify it s about change I ve got officers already on the web but you pay on the part of the officers get therapy putting that that kind of backing down they re in the band for someone who in the baton homocore sort of porch we ve heard that about parents that they can t I think anybody who I know I m not asking you to look for it but did you know there is hope you didn t think Americans it s over okay are you expecting inviting you', '","0.355035","author yeah","0.258902","0.01467","0.677167","0.305061","0.056103","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","talk","1702","1706","talk","EventCommunication","","0.354374","door yeah","0.405501","0.111777","0.089111","0.284295","0.115976","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.3408","siblingOf","my","18816","18818","my","Person","', 'who hello I didn t my brother okay name but I can hear you no my brother in the new record out yeah we thing okay yeah yeah yeah don t talk normal in okay my brother yelling upon a good good luck my brother the only alliance a good I don t I get my you get the bill if your brother well okay it you know my other brother then and my back but mom backyard plan whew I don t really little please weekly but my brother you re a you look big and upper body', '","0.354189","road yeah","0.066438","0.52221","0.08562","0.160327","0.095627","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","brother","18819","18826","brother","Person","","0.353483","early yeah","0.132744","0.127959","0.337607","0.198199","0.054112","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.495962","partOfMany","brother","18819","18826","brother","Person","', 'who hello I didn t my brother okay name but I can hear you no my brother in the new record out yeah we thing okay yeah yeah yeah don t talk normal in okay my brother yelling upon a good good luck my brother the only alliance a good I don t I get my you get the bill if your brother well okay it you know my other brother then and my back but mom backyard plan whew I don t really little please weekly but my brother you re a you look big and upper body', '","0.353469","yeah heart","0.199718","0.112112","0.696415","0.045571","0.095146","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","we","18854","18856","we","Person","","0.353242","book yeah","0.342365","0.241266","0.249738","0.089302","0.162114","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.299707","siblingOf","my","18909","18911","my","Person","', 'who hello I didn t my brother okay name but I can hear you no my brother in the new record out yeah we thing okay yeah yeah yeah don t talk normal in okay my brother yelling upon a good good luck my brother the only alliance a good I don t I get my you get the bill if your brother well okay it you know my other brother then and my back but mom backyard plan whew I don t really little please weekly but my brother you re a you look big and upper body', '","0.352926","color yeah","0.134619","0.206903","0.138352","0.105695","0.052597","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","brother","18912","18919","brother","Person","","0.349999","hidden resident yeah","0.333352","0.02249","0.514122","0.239452","0.273939","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.340918","siblingOf","my","18950","18952","my","Person","', 'who hello I didn t my brother okay name but I can hear you no my brother in the new record out yeah we thing okay yeah yeah yeah don t talk normal in okay my brother yelling upon a good good luck my brother the only alliance a good I don t I get my you get the bill if your brother well okay it you know my other brother then and my back but mom backyard plan whew I don t really little please weekly but my brother you re a you look big and upper body', '","0.34757","peace yeah","0.216817","0.330839","0.19543","0.396363","0.0643","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","brother","18953","18960","brother","Person","","0.34656","correct yeah","0.189264","0.147536","0.312373","0.245749","0.062613","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.334004","siblingOf","your","19023","19027","your","Person","', 'who hello I didn t my brother okay name but I can hear you no my brother in the new record out yeah we thing okay yeah yeah yeah don t talk normal in okay my brother yelling upon a good good luck my brother the only alliance a good I don t I get my you get the bill if your brother well okay it you know my other brother then and my back but mom backyard plan whew I don t really little please weekly but my brother you re a you look big and upper body', '","0.343603","bear yeah","0.202828","0.094842","0.219512","0.213563","0.175033","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","brother","19028","19035","brother","Person","","0.340823","hello yeah","0.333352","0.02249","0.514122","0.239452","0.273939","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.377882","siblingOf","my","19159","19161","my","Person","', 'who hello I didn t my brother okay name but I can hear you no my brother in the new record out yeah we thing okay yeah yeah yeah don t talk normal in okay my brother yelling upon a good good luck my brother the only alliance a good I don t I get my you get the bill if your brother well okay it you know my other brother then and my back but mom backyard plan whew I don t really little please weekly but my brother you re a you look big and upper body', '","0.33714","yeah hardcore","0.335594","0.084438","0.642948","0.160483","0.021874","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","brother","19162","19169","brother","Person","","0.334189","spring yeah","0.037192","0.804868","0.145137","0.021752","0.001915","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.985624","agentOf","he","19262","19264","he","Person","o clock well I don t have a county nine one one but he addressed the emergency all of our people we can be family dollar completing we I am not a goody goody wouldn t it make a habit of it for a then that might never female a card with intimate with the male or female human well right now but now I think they ll look but they ll nnova I ran the liquid what color is that what could the Honda civic it Luke lightly and it looked like ugly unbelievable I like the Clinton listened', '","0.333572","yeah paint","0.41572","0.079118","0.571371","0.095614","0.128443","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","addressed","19265","19274","addressed","EventCommunication","","0.315224","place HESITATION HESITATION","0.335562","0.049526","0.186214","0.192975","0.16548","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.706471","partOfMany","people","19300","19306","people","Person","o clock well I don t have a county nine one one but he addressed the emergency all of our people we can be family dollar completing we I am not a goody goody wouldn t it make a habit of it for a then that might never female a card with intimate with the male or female human well right now but now I think they ll look but they ll nnova I ran the liquid what color is that what could the Honda civic it Luke lightly and it looked like ugly unbelievable I like the Clinton listened', '","0.239443","number Sabrina HESITATION","0.025918","0.091902","0.038377","0.039421","0.018467","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","we","19307","19309","we","Person","","0.233306","HESITATION girl Paul","0.234716","0.049427","0.30928","0.208774","0.433335","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.567527","employedBy","Luke","19613","19617","Luke","Person","o clock well I don t have a county nine one one but he addressed the emergency all of our people we can be family dollar completing we I am not a goody goody wouldn t it make a habit of it for a then that might never female a card with intimate with the male or female human well right now but now I think they ll look but they ll nnova I ran the liquid what color is that what could the Honda civic it Luke lightly and it looked like ugly unbelievable I like the Clinton listened', '","0.23236","new brand HESITATION","0.281122","0.031929","0.542971","0.158302","0.158344","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","Honda","19598","19603","Honda","Organization","","0.227276","invasion overnight HESITATION","0.281122","0.031929","0.542971","0.158302","0.158344","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.675882","spouseOf","my","19788","19790","my","Person","I want one was the location of your emergency I know that one we are we are sure you know and my husband s been attacked by a bear there has been been attacked by a bear yeah I just go to dinner reporter Mike is right where Israel here where is your husband he got the part he got the bottom of my driveway and are surprised to get back in the house no I don t know yet if he came to he finished al assad s okay okay we get clubs to depart I am going to somebody that you can go ahead go ahead okay hold up they ll tell', 'the world three', '","0.226331","instance HESITATION driver","0.165861","0.022786","0.338399","0.092261","0.059377","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","husband","19791","19798","husband","Person","","0.225706","west HESITATION governor","0.278559","0.027665","0.662773","0.184271","0.100824","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.44782","locatedAt","I","2437","2438","I","Person","yes I do n t gone poker a twenty almost three quarters Cup apartment for that no I m not I m not look at well right prominent played by product apartment block it s going to look good n gog cropland twenty three and I m like apartment for and it was weighing only okay who how does the president have you have right now I yeah but that will that will perish by the door yeah by the door', '","0.215063","house HESITATION","0.257531","0.318254","0.194017","0.211011","0.043461","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","apartment","2446","2455","apartment","Facility","","0.210402","baby think","0.32746","0.042092","0.664584","0.184261","0.061665","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","0.727718","agentOf","husband","19791","19798","husband","Person","I want one was the location of your emergency I know that one we are we are sure you know and my husband s been attacked by a bear there has been been attacked by a bear yeah I just go to dinner reporter Mike is right where Israel here where is your husband he got the part he got the bottom of my driveway and are surprised to get back in the house no I don t know yet if he came to he finished al assad s okay okay we get clubs to depart I am going to somebody that you can go ahead go ahead okay hold up they ll tell', 'the world three', '","0.210241","HESITATION employment","0.052416","0.529581","0.036483","0.145495","0.018198","0.0","neutral","","","","",""
"","","","","","","","","","","","","","","","","","attacked","19806","19814","attacked","EventViolence","","0.209774","Sir I don","0.111105","0.054516","0.623265","0.26711","0.258131","0.0","neutral","","","","",""
