IncidentID,Text,Class
2,however not all of extramarital sex well it's summer you know why fund one lane on one side and at the end drawbridge in ninety five traffic stops fifteen minutes earlier recall about what I about traffic now you need a policeman numbers hit somebody gave because Sydney heart some ice cold here number find out I think it's urgent about twenty two minutes on the draw race when this when this traffic going one way and I'm in the front corner sensitive something happening on the bridge except the truck and somebody gave me this right after that violet please I want to look at what it thousands of Farsi held that because it is a gift appeaser what yeah thank you you have never made much sense yet what what is it you're you're calling about I would have full of good horserace so life goes red I think if the malfunction because there's nothing happening on the drug trade okay because his truck coming and going %HESITATION ,low
2,get that far cordon without my help you although they did well who right won't local neighborhood I don't want we can put water like that what is your act right you what you're going to write what it okay report role partly it it would be a good one what if you are you a little okay and what book which promptly there I don't know what you're looking for a little while okay are you walk on water your control okay it there eat your neighborhood I don't know but how it was ,low
2,are your not a record out or by like they didn out %HESITATION we know you can't afford it it at the line if they are right yeah party I got the call you leann I'm really lucky apply I don't know all that shit partner with around them and okay you couldn't really okay we call if you are we want to keep your yeah targeting a proper part up there or not please call my wife call it whatever could I could I got my car eclectic look it isnt throughout the ,low
2,Takayama online yeah it was a Monday but battle against Richard eight that that number zero nine three one with the United States Illuminati order Alan at right now current currently dot inside okay airplane bigger unit on pot out of the not a field museum of art downtown is a world apart I would but here and try to complete an operation it went really wrong and that I've got to get out of it and that I think a lot of help out a and that contact marketeer years and I think the rescue squad because we get me out immediately and tell where you are and the museum but Knoxville museum of art how kind ,low
2,starting date Saturday February zero seven two thousand nine at twelve hours zero minutes and forty four seconds AM from port no no no no no no no no no no no yeah I know what yeah I can barely hear it what yeah Burger King not point beach Boulevard and whatnot caller on the line there yeah getting you out of the Medicare and what it really robot what what what NMEA out I don't I don't I bet that might well not there NPA former here to let them know that when I get out I mean their window I kept at it I want the that that putting on that plane well you know I don't I would often enough that I can why you didn't do that to me before now are you a lot more ,low
2,thanks artist Krystal Hutton hope it wasn't here on the main street in Colorado springs Colorado okay do you know what made you know which states against and that Sharon that advocate address Sir cigarettes met like that for me main street main street I'm not sure that that isn't like that address that is in the address and it was the nearest intersection inviting we want the damn phone number according to that to me seven one nine three nine three case researcher seven eight but Hey it had a home phone it is a case here and what's going on there now listen here I got two people here held hostage right okay now you know what happens to people that are held hostage but no I got the movie had nothing I can understand that okay and now one of the beers name is Danielle and her father and the reason why I'm doing that because ,low
2,now one might imagine thank get involved in nine one one where Schirmer chimney I don't I'm not here right now you know a lot of heat in the car is there a way that someone come again Arafat correctional services are available in town to do that me and police in fact not why make Russell stars I mean you'll have to pay to have it done I'll cry umber closest ears sooner master and the number is nine eight seven I %HESITATION I thank you now one one where your monthly it's not an emergency ,low
2,level one would have in order hello yeah %HESITATION what your quicken %HESITATION nine one one do you need nine one one yet but well I'm locked in my car got hit you like in your car yeah in my car where you %HESITATION I didn't %HESITATION %HESITATION wouldn't be all fun Avondale how would you be looking at car what would happen if I got in my car and I turned on that let him catch I don't okay and you can't do it manually open your door no I can't open my door I am actually locked in here at my window their lawn and indeed you try the passenger door Reno on well I don't think yeah well my where people get hurt okay no problem how did you know that %HESITATION a minimal one operator so let it happen lately that get out of here okay thing ,low
2,I'm not sure of my Darling of real Sarah overnight loans several brothers and I would just love the look alike you know the I. R. graveyard here that they get it they can go far broader from I already know I don't know about Dallas alright but I'm just saying I totally get proceeds brothers very often although I don't see all of you my brother in law taught young of a sudden it hit me and I don't know what former clear that no one owns what sort of your because I found for forty you know product number nearly as about its results are you look at that Sir ,low
2,Saturday may first two thousand ten the time nine thirty one PM not that I can think hello north American thing and emergency land I I don't I know you guys have more problems it's ridiculous thing that I'm calling you about I don't ordered food which is totally Willie piculet he could get yeah like Donald for two dollars what I ordered it feel and I could hit it it can I apply my only complaint it is we'd be quiet Jack peacock ignored port we don't want our money back you know locate it will occur yeah you out you know yeah so what okay but your moment ,low
2,I %HESITATION how are you not reach Clackamas county nine one one do not hang up for help after the tone say help do not hang up to read about your crush one at any time corporate help after the I %HESITATION hello yeah Leon o'clock commitment Donald here on property late at night and I need to calm gentleman that are there I grew up in the women out live through window day that they got the wrong order I'm a little concerned but I think the I believe that they want ,low
2,they can now All I Want to address billion legacy currently mired down in the near term many you need not you will need would not want to come out yeah if guys are sitting in a car outside child great I would like a child architects got them leave because the cops have told me to call and I outside Moscow you know what you're thinking I don't care and I'm not going to be injured all creatures great how I'm not new year's right now I loaded ,low
